hero,hero_slug,role,category,perk_type,perk_name,pick_rate,perk_slug,perk_image_url,perk_image_raw_url,hero_image_url,source_url,update_date
메이,mei,Damage,damages,minor,빙하 추진력,72,glacial_propulsion,https://owperks.com/_next/image?url=%2Fperks-icons%2Fglacial_propulsion.webp&w=32&q=75,https://owperks.com/perks-icons/glacial_propulsion.webp,https://owperks.com/_next/image?url=%2Fheroes-icons%2Fmei.webp&w=64&q=75,https://owperks.com/ko/damages/mei,2026-05-01
메이,mei,Damage,damages,minor,스케이트장,28,skating_rink,https://owperks.com/_next/image?url=%2Fperks-icons%2Fskating_rink.webp&w=32&q=75,https://owperks.com/perks-icons/skating_rink.webp,https://owperks.com/_next/image?url=%2Fheroes-icons%2Fmei.webp&w=64&q=75,https://owperks.com/ko/damages/mei,2026-05-01
바스티온,bastion,Damage,damages,major,자가 수리,72,self_repair,https://owperks.com/_next/image?url=%2Fperks-icons%2Fself_repair.webp&w=32&q=75,https://owperks.com/perks-icons/self_repair.webp,https://owperks.com/_next/image?url=%2Fheroes-icons%2Fbastion.webp&w=64&q=75,https://owperks.com/ko/damages/bastion,2026-05-01
바스티온,bastion,Damage,damages,major,린드홀름 폭발물,28,lindholm_explosives,https://owperks.com/_next/image?url=%2Fperks-icons%2Flindholm_explosives.webp&w=32&q=75,https://owperks.com/perks-icons/lindholm_explosives.webp,https://owperks.com/_next/image?url=%2Fheroes-icons%2Fbastion.webp&w=64&q=75,https://owperks.com/ko/damages/bastion,2026-05-01
바스티온,bastion,Damage,damages,minor,설정: 재장전,87,configuration_reload,https://owperks.com/_next/image?url=%2Fperks-icons%2Fconfiguration_reload.webp&w=32&q=75,https://owperks.com/perks-icons/configuration_reload.webp,https://owperks.com/_next/image?url=%2Fheroes-icons%2Fbastion.webp&w=64&q=75,https://owperks.com/ko/damages/bastion,2026-05-01
바스티온,bastion,Damage,damages,minor,모자 포격기,13,armored_artillery,https://owperks.com/_next/image?url=%2Fperks-icons%2Farmored_artillery.webp&w=32&q=75,https://owperks.com/perks-icons/armored_artillery.webp,https://owperks.com/_next/image?url=%2Fheroes-icons%2Fbastion.webp&w=64&q=75,https://owperks.com/ko/damages/bastion,2026-05-01
벤데타,vendetta,Damage,damages,major,착취의 칼날,83,siphoning_strike,https://owperks.com/_next/image?url=%2Fperks-icons%2Fsiphoning_strike.webp&w=32&q=75,https://owperks.com/perks-icons/siphoning_strike.webp,https://owperks.com/_next/image?url=%2Fheroes-icons%2Fvendetta.webp&w=64&q=75,https://owperks.com/ko/damages/vendetta,2026-05-01
벤데타,vendetta,Damage,damages,major,무자비,17,relentless,https://owperks.com/_next/image?url=%2Fperks-icons%2Frelentless.webp&w=32&q=75,https://owperks.com/perks-icons/relentless.webp,https://owperks.com/_next/image?url=%2Fheroes-icons%2Fvendetta.webp&w=64&q=75,https://owperks.com/ko/damages/vendetta,2026-05-01
벤데타,vendetta,Damage,damages,minor,맹렬한 폭풍,72,raging_storm,https://owperks.com/_next/image?url=%2Fperks-icons%2Fraging_storm.webp&w=32&q=75,https://owperks.com/perks-icons/raging_storm.webp,https://owperks.com/_next/image?url=%2Fheroes-icons%2Fvendetta.webp&w=64&q=75,https://owperks.com/ko/damages/vendetta,2026-05-01
벤데타,vendetta,Damage,damages,minor,추가 칼날,28,extra_edge,https://owperks.com/_next/image?url=%2Fperks-icons%2Fextra_edge.webp&w=32&q=75,https://owperks.com/perks-icons/extra_edge.webp,https://owperks.com/_next/image?url=%2Fheroes-icons%2Fvendetta.webp&w=64&q=75,https://owperks.com/ko/damages/vendetta,2026-05-01
벤처,venture,Damage,damages,major,스마트 연장기,82,smart_extender,https://owperks.com/_next/image?url=%2Fperks-icons%2Fsmart_extender.webp&w=32&q=75,https://owperks.com/perks-icons/smart_extender.webp,https://owperks.com/_next/image?url=%2Fheroes-icons%2Fventure.webp&w=64&q=75,https://owperks.com/ko/damages/venture,2026-05-01
벤처,venture,Damage,damages,major,먼지투성이,18,covered_in_dirt,https://owperks.com/_next/image?url=%2Fperks-icons%2Fcovered_in_dirt.webp&w=32&q=75,https://owperks.com/perks-icons/covered_in_dirt.webp,https://owperks.com/_next/image?url=%2Fheroes-icons%2Fventure.webp&w=64&q=75,https://owperks.com/ko/damages/venture,2026-05-01
벤처,venture,Damage,damages,minor,발굴의 쾌감,72,excavation_exhilaration,https://owperks.com/_next/image?url=%2Fperks-icons%2Fexcavation_exhilaration.webp&w=32&q=75,https://owperks.com/perks-icons/excavation_exhilaration.webp,https://owperks.com/_next/image?url=%2Fheroes-icons%2Fventure.webp&w=64&q=75,https://owperks.com/ko/damages/venture,2026-05-01
벤처,venture,Damage,damages,minor,심층 잠복,28,deep_burrow,https://owperks.com/_next/image?url=%2Fperks-icons%2Fdeep_burrow.webp&w=32&q=75,https://owperks.com/perks-icons/deep_burrow.webp,https://owperks.com/_next/image?url=%2Fheroes-icons%2Fventure.webp&w=64&q=75,https://owperks.com/ko/damages/venture,2026-05-01
소전,sojourn,Damage,damages,major,이중 추진기,75,dual_thrusters,https://owperks.com/_next/image?url=%2Fperks-icons%2Fdual_thrusters.webp&w=32&q=75,https://owperks.com/perks-icons/dual_thrusters.webp,https://owperks.com/_next/image?url=%2Fheroes-icons%2Fsojourn.webp&w=64&q=75,https://owperks.com/ko/damages/sojourn,2026-05-01
소전,sojourn,Damage,damages,major,마찰 생성기,25,friction_generators,https://owperks.com/_next/image?url=%2Fperks-icons%2Ffriction_generators.webp&w=32&q=75,https://owperks.com/perks-icons/friction_generators.webp,https://owperks.com/_next/image?url=%2Fheroes-icons%2Fsojourn.webp&w=64&q=75,https://owperks.com/ko/damages/sojourn,2026-05-01
소전,sojourn,Damage,damages,minor,감속장,52,deceleration_field,https://owperks.com/_next/image?url=%2Fperks-icons%2Fdeceleration_field.webp&w=32&q=75,https://owperks.com/perks-icons/deceleration_field.webp,https://owperks.com/_next/image?url=%2Fheroes-icons%2Fsojourn.webp&w=64&q=75,https://owperks.com/ko/damages/sojourn,2026-05-01
소전,sojourn,Damage,damages,minor,과충전,48,overcharged,https://owperks.com/_next/image?url=%2Fperks-icons%2Fovercharged.webp&w=32&q=75,https://owperks.com/perks-icons/overcharged.webp,https://owperks.com/_next/image?url=%2Fheroes-icons%2Fsojourn.webp&w=64&q=75,https://owperks.com/ko/damages/sojourn,2026-05-01
솔저: 76,soldier-76,Damage,damages,major,전투자극제,77,stim_pack,https://owperks.com/_next/image?url=%2Fperks-icons%2Fstim_pack.webp&w=32&q=75,https://owperks.com/perks-icons/stim_pack.webp,https://owperks.com/_next/image?url=%2Fheroes-icons%2Fsoldier-76.webp&w=64&q=75,https://owperks.com/ko/damages/soldier-76,2026-05-01
솔저: 76,soldier-76,Damage,damages,major,전속력,23,full_stride,https://owperks.com/_next/image?url=%2Fperks-icons%2Ffull_stride.webp&w=32&q=75,https://owperks.com/perks-icons/full_stride.webp,https://owperks.com/_next/image?url=%2Fheroes-icons%2Fsoldier-76.webp&w=64&q=75,https://owperks.com/ko/damages/soldier-76,2026-05-01
솔저: 76,soldier-76,Damage,damages,minor,나선 추진,74,helix_propulsion,https://owperks.com/_next/image?url=%2Fperks-icons%2Fhelix_propulsion.webp&w=32&q=75,https://owperks.com/perks-icons/helix_propulsion.webp,https://owperks.com/_next/image?url=%2Fheroes-icons%2Fsoldier-76.webp&w=64&q=75,https://owperks.com/ko/damages/soldier-76,2026-05-01
솔저: 76,soldier-76,Damage,damages,minor,전술 일제 사격,26,tactical_salvo,https://owperks.com/_next/image?url=%2Fperks-icons%2Ftactical_salvo.webp&w=32&q=75,https://owperks.com/perks-icons/tactical_salvo.webp,https://owperks.com/_next/image?url=%2Fheroes-icons%2Fsoldier-76.webp&w=64&q=75,https://owperks.com/ko/damages/soldier-76,2026-05-01
솜브라,sombra,Damage,damages,major,바이러스 복제,73,viral_replication,https://owperks.com/_next/image?url=%2Fperks-icons%2Fviral_replication.webp&w=32&q=75,https://owperks.com/perks-icons/viral_replication.webp,https://owperks.com/_next/image?url=%2Fheroes-icons%2Fsombra.webp&w=64&q=75,https://owperks.com/ko/damages/sombra,2026-05-01
솜브라,sombra,Damage,damages,major,고속 대역폭,27,high_speed_bandwidth,https://owperks.com/_next/image?url=%2Fperks-icons%2Fhigh_speed_bandwidth.webp&w=32&q=75,https://owperks.com/perks-icons/high_speed_bandwidth.webp,https://owperks.com/_next/image?url=%2Fheroes-icons%2Fsombra.webp&w=64&q=75,https://owperks.com/ko/damages/sombra,2026-05-01
솜브라,sombra,Damage,damages,minor,CTRL ALT ESC,76,ctrl_alt_esc,https://owperks.com/_next/image?url=%2Fperks-icons%2Fctrl_alt_esc.webp&w=32&q=75,https://owperks.com/perks-icons/ctrl_alt_esc.webp,https://owperks.com/_next/image?url=%2Fheroes-icons%2Fsombra.webp&w=64&q=75,https://owperks.com/ko/damages/sombra,2026-05-01
솜브라,sombra,Damage,damages,minor,암호화 업로드,24,encrypted_upload,https://owperks.com/_next/image?url=%2Fperks-icons%2Fencrypted_upload.webp&w=32&q=75,https://owperks.com/perks-icons/encrypted_upload.webp,https://owperks.com/_next/image?url=%2Fheroes-icons%2Fsombra.webp&w=64&q=75,https://owperks.com/ko/damages/sombra,2026-05-01
시메트라,symmetra,Damage,damages,major,보호막 배터리,78,shield_battery,https://owperks.com/_next/image?url=%2Fperks-icons%2Fshield_battery.webp&w=32&q=75,https://owperks.com/perks-icons/shield_battery.webp,https://owperks.com/_next/image?url=%2Fheroes-icons%2Fsymmetra.webp&w=64&q=75,https://owperks.com/ko/damages/symmetra,2026-05-01
시메트라,symmetra,Damage,damages,major,호버 방벽,22,hovering_barrier,https://owperks.com/_next/image?url=%2Fperks-icons%2Fhovering_barrier.webp&w=32&q=75,https://owperks.com/perks-icons/hovering_barrier.webp,https://owperks.com/_next/image?url=%2Fheroes-icons%2Fsymmetra.webp&w=64&q=75,https://owperks.com/ko/damages/symmetra,2026-05-01
시메트라,symmetra,Damage,damages,minor,완벽한 정렬,79,perfect_alignment,https://owperks.com/_next/image?url=%2Fperks-icons%2Fperfect_alignment.webp&w=32&q=75,https://owperks.com/perks-icons/perfect_alignment.webp,https://owperks.com/_next/image?url=%2Fheroes-icons%2Fsymmetra.webp&w=64&q=75,https://owperks.com/ko/damages/symmetra,2026-05-01
시메트라,symmetra,Damage,damages,minor,포탑 용량,21,sentry_capacity,https://owperks.com/_next/image?url=%2Fperks-icons%2Fsentry_capacity.webp&w=32&q=75,https://owperks.com/perks-icons/sentry_capacity.webp,https://owperks.com/_next/image?url=%2Fheroes-icons%2Fsymmetra.webp&w=64&q=75,https://owperks.com/ko/damages/symmetra,2026-05-01
시에라,sierra,Damage,damages,major,대상 포착,82,locked_in,https://owperks.com/_next/image?url=%2Fperks-icons%2Flocked_in.webp&w=32&q=75,https://owperks.com/perks-icons/locked_in.webp,https://owperks.com/_next/image?url=%2Fheroes-icons%2Fsierra.webp&w=64&q=75,https://owperks.com/ko/damages/sierra,2026-05-01
시에라,sierra,Damage,damages,major,의료 드론,18,medi_drone,https://owperks.com/_next/image?url=%2Fperks-icons%2Fmedi_drone.webp&w=32&q=75,https://owperks.com/perks-icons/medi_drone.webp,https://owperks.com/_next/image?url=%2Fheroes-icons%2Fsierra.webp&w=64&q=75,https://owperks.com/ko/damages/sierra,2026-05-01
시에라,sierra,Damage,damages,minor,단단한 손아귀,73,tight_grip,https://owperks.com/_next/image?url=%2Fperks-icons%2Ftight_grip.webp&w=32&q=75,https://owperks.com/perks-icons/tight_grip.webp,https://owperks.com/_next/image?url=%2Fheroes-icons%2Fsierra.webp&w=64&q=75,https://owperks.com/ko/damages/sierra,2026-05-01
