hero,role,data_tier,map,map_name,update_date,win_rate,pick_rate,ban_rate,win_rate_z,pick_rate_log,pick_rate_z,total_score,rank
리퍼,Damage,Master,eichenwalde,아이헨발데,2026-05-18,54.7,14.5,6.3,0.8056382028450129,2.740840023925201,0.9115637947252163,0.7947278274838022,S
마우가,Tank,Master,eichenwalde,아이헨발데,2026-05-18,45.7,8.9,25.7,-0.06609196006366418,2.2925347571405443,0.30828937866927186,0.3883825141838468,A
메르시,Support,Master,eichenwalde,아이헨발데,2026-05-18,35.6,7.1,1.7,-1.0443669206611796,2.0918640616783932,0.03825129169176504,-0.5537211954570193,C
메이,Damage,Master,eichenwalde,아이헨발데,2026-05-18,49.5,4.5,0.6,0.301971886497777,1.7047480922384253,-0.4826820492988665,-0.12176836516128814,B
모이라,Support,Master,eichenwalde,아이헨발데,2026-05-18,57.7,3.3,0.6,1.096214923814572,1.4586150226995167,-0.8138978408578521,0.1759884160294137,A
미즈키,Support,Master,eichenwalde,아이헨발데,2026-05-18,43.5,4.7,10.9,-0.27918155544134104,1.7404661748405046,-0.4346170207995295,-0.07221360892123135,B
바스티온,Damage,Master,eichenwalde,아이헨발데,2026-05-18,44.1,4.0,2.8,-0.22106621124742912,1.6094379124341003,-0.6109388361932763,-0.2813532185903606,B
바티스트,Support,Master,eichenwalde,아이헨발데,2026-05-18,52.2,8.3,0.0,0.5634909353703804,2.2300144001592104,0.2241571262867881,0.14474928894392927,A
벤데타,Damage,Master,eichenwalde,아이헨발데,2026-05-18,55.8,0.8,0.0,0.9121830005338507,0.5877866649021191,-1.985752173070133,-0.34387746828141186,B
벤처,Damage,Master,eichenwalde,아이헨발데,2026-05-18,60.1,4.0,0.0,1.328676300590219,1.6094379124341003,-0.6109388361932763,0.27681318280982925,A
브리기테,Support,Master,eichenwalde,아이헨발데,2026-05-18,46.0,5.7,0.0,-0.037034287966708546,1.9021075263969205,-0.21709985293290404,-0.2878904164905228,B
소전,Damage,Master,eichenwalde,아이헨발데,2026-05-18,50.5,13.3,0.0,0.39883079348763,2.6602595372658615,0.8031284279413868,0.2361106084989337,A
솔저: 76,Damage,Master,eichenwalde,아이헨발데,2026-05-18,42.0,4.9,0.0,-0.4244699159261206,1.7749523509116738,-0.38820974149060583,-0.5329411970375394,C
솜브라,Damage,Master,eichenwalde,아이헨발데,2026-05-18,62.8,2.7,9.6,1.5901953494628218,1.308332819650179,-1.0161292554884087,0.6692426331814312,S
시그마,Tank,Master,eichenwalde,아이헨발데,2026-05-18,49.0,12.0,5.1,0.2535424330028505,2.5649493574615367,0.6748716410469773,0.4185209592043014,A
시메트라,Damage,Master,eichenwalde,아이헨발데,2026-05-18,24.5,2.7,0.6,-2.119500788248548,1.308332819650179,-1.0161292554884087,-1.4925388643913133,C
시에라,Damage,Master,eichenwalde,아이헨발데,2026-05-18,42.0,3.8,4.0,-0.4244699159261206,1.5686159179138452,-0.6658720853229934,-0.3549869189259808,B
아나,Support,Master,eichenwalde,아이헨발데,2026-05-18,55.2,62.2,12.0,0.8540676563399394,4.146304301152812,2.8028657801182555,1.4800071992972046,S
안란,Damage,Master,eichenwalde,아이헨발데,2026-05-18,46.7,3.5,0.0,0.030766946926188837,1.5040773967762742,-0.7527201362763734,-0.414675884047115,B
애쉬,Damage,Master,eichenwalde,아이헨발데,2026-05-18,48.7,5.5,0.0,0.22448476090589486,1.8718021769015913,-0.2578810870042583,-0.16936526227562743,B
에코,Damage,Master,eichenwalde,아이헨발데,2026-05-18,47.7,13.6,1.7,0.12762585391604184,2.681021528714291,0.831067377570605,0.27012001759524346,A
엠레,Damage,Master,eichenwalde,아이헨발데,2026-05-18,48.4,16.0,3.4,0.19542708880893853,2.833213344056216,1.035868514946037,0.44473313427858086,A
오리사,Tank,Master,eichenwalde,아이헨발데,2026-05-18,52.4,8.8,12.0,0.5828627167683506,2.2823823856765264,0.29462755843132127,0.5919332630053298,A
우양,Support,Master,eichenwalde,아이헨발데,2026-05-18,57.1,19.6,0.0,1.03809957962066,3.0252910757955354,1.2943432419629046,0.703109445771904,S
위도우메이커,Damage,Master,eichenwalde,아이헨발데,2026-05-18,45.6,2.7,1.1,-0.0757778507626496,1.308332819650179,-1.0161292554884087,-0.42653559103030886,B
